description,category,transaction_type
School stationery pens notebooks supplies via UPI,Education,expense
Hospital health full body pathology test charge,Health,expense
Cult Fit gym fitness center membership via UPI,Health,expense
Levi's denim jeans store via UPI,Shopping,expense
Pet shop puppy food treats snacks bones order,Pets,expense
Bakery fresh cake and pastries,Food,expense
Monthly salary credited by employer expense,Income,income
Spotify premium music subscription,Entertainment,expense
Dermatologist skin care clinic fee subscription,Health,expense
Puppy kitten pet food nutrition pouch biscuits online,Pets,expense
H&M casual tshirts and jeans bill,Shopping,expense
Gas pipeline utility bill store,Bills,expense
Yoga and meditation session fees purchase,Health,expense
Corporate performance bonus payment store,Income,income
Whiskas cat food ocean fish pouch via UPI,Pets,expense
Taco Bell tacos store,Food,expense
Rapido bike taxi trip card payment,Transport,expense
Pet accessories dog bed cat toys chew bone store,Pets,expense
Pet boarding day care kennel charges dog walking via UPI,Pets,expense
Zepto grocery order milk bread subscription,Food,expense
Corporate performance bonus payment card payment,Income,income
Flipkart electronics smart watch charge,Shopping,expense
Pet shop puppy food treats snacks bones via UPI,Pets,expense
PlayStation Plus yearly subscription expense,Entertainment,expense
Apple Music annual plan via UPI,Entertainment,expense
Home insurance annual premium charge,Bills,expense
Cat food whiskas tuna wet food payment,Pets,expense
BookMyShow concert event ticket order,Entertainment,expense
Upwork freelance software contract order,Income,income
Breakfast cafe coffee bagel charge,Food,expense
Amazon online shopping headphones purchase via UPI,Shopping,expense
Tata Power electricity bill expense,Bills,expense
Starbucks coffee latte store,Food,expense
Petrol fuel HPCL station refill order,Transport,expense
Breakfast cafe coffee bagel expense,Food,expense
Organic grocery store food items via UPI,Food,expense
Petrol fuel HPCL station refill online,Transport,expense
House monthly rent payment to landlord purchase,Bills,expense
AWS certification exam voucher via UPI,Education,expense
Airport shuttle express bus card payment,Transport,expense
Decathlon sports gym equipment bill,Shopping,expense
Airtel postpaid telecom bill via UPI,Bills,expense
Leather wallet and belts bill,Shopping,expense
Steam PC video game digital download store,Entertainment,expense
Kitchen non stick pan cookware subscription,Shopping,expense
Upwork freelance software contract purchase,Income,income
Zepto grocery order milk bread bill,Food,expense
Zepto grocery order milk bread payment,Food,expense
Purina pet food supercoat pro plan,Pets,expense
Indian oil corporation petrol bill,Transport,expense
Amusement theme park tickets purchase,Entertainment,expense
Municipal water supply pipeline bill expense,Bills,expense
Titan wrist watch purchase purchase,Shopping,expense
Computer science algorithms textbook card payment,Education,expense
Gourmet cheese and pasta,Food,expense
Bird cage seeds pet care supplies food order,Pets,expense
Me-O cat food creamy treats salmon card payment,Pets,expense
Dinner at Italian restaurant online,Food,expense
Burger King whopper meal store,Food,expense
House monthly rent payment to landlord online,Bills,expense
Dermatologist skin care clinic fee,Health,expense
Leather wallet and belts order,Shopping,expense
FASTag toll plaza electronic recharge expense,Transport,expense
Puppy kitten pet food nutrition pouch biscuits bill,Pets,expense
Apple Music annual plan via UPI,Entertainment,expense
Zara cotton formal shirt payment,Shopping,expense
Puppy kitten pet food nutrition pouch biscuits charge,Pets,expense
Drools dog food pet treats puppy snacks subscription,Pets,expense
Apartment society maintenance maintenance charges purchase,Bills,expense
Corporate performance bonus payment charge,Income,income
Local tea and snacks stall store,Food,expense
Uber cab ride to airport subscription,Transport,expense
Corporate performance bonus payment bill,Income,income
Public speaking certification workshop purchase,Education,expense
Apartment society maintenance maintenance charges online,Bills,expense
Airport shuttle express bus purchase,Transport,expense
Airtel postpaid telecom bill via UPI,Bills,expense
KFC fried chicken bucket via UPI,Food,expense
Pet shop puppy food treats snacks bones online,Pets,expense
Bus ticket reservation online charge,Transport,expense
House monthly rent payment to landlord expense,Bills,expense
Leather wallet and belts,Shopping,expense
Organic grocery store food items order,Food,expense
Burger King whopper meal via UPI,Food,expense
Pizza Hut dinner with family via UPI,Food,expense
Bird cage seeds pet care supplies food payment,Pets,expense
Cat food whiskas tuna wet food expense,Pets,expense
Airtel postpaid telecom bill payment,Bills,expense
Breakfast cafe coffee bagel store,Food,expense
Swiggy dinner order,Food,expense
Ice cream parlour dessert waffle expense,Food,expense
Apollo pharmacy multivitamins supplements order,Health,expense
Amusement theme park tickets charge,Entertainment,expense
Blinkit instant grocery delivery,Food,expense
Indian oil corporation petrol expense,Transport,expense
Coursera AI machine learning specialization store,Education,expense
Zomato food delivery,Food,expense
Dominos pizza delivery,Food,expense
AWS certification exam voucher bill,Education,expense
Burger King whopper meal online,Food,expense
Veterinary hospital medicine for dog puppy expense,Pets,expense
Public speaking certification workshop expense,Education,expense
Decathlon sports gym equipment expense,Shopping,expense
Bus ticket reservation online purchase,Transport,expense
Online makeup beauty cosmetics store bill,Shopping,expense
Online makeup beauty cosmetics store via UPI,Shopping,expense
Pedigree adult dog meat gravy chicken rice card payment,Pets,expense
Pet clinic vet consultation checkup fee online,Pets,expense
Dog grooming shampoo trimming spa online,Pets,expense
Bank high yield savings account interest expense,Income,income
Titan wrist watch purchase,Shopping,expense
Whiskas cat food ocean fish pouch,Pets,expense
Aquarium fish food pellets pet care aquarium tank payment,Pets,expense
Bus ticket reservation online card payment,Transport,expense
Starbucks coffee latte subscription,Food,expense
Netflix 4K UHD monthly subscription order,Entertainment,expense
Ola cab ride home from office purchase,Transport,expense
Pet accessories dog bed cat toys chew bone subscription,Pets,expense
Home decor wall painting frames charge,Shopping,expense
LinkedIn Learning monthly subscription order,Education,expense
Online makeup beauty cosmetics store online,Shopping,expense
Physiotherapy treatment session,Health,expense
Swiggy dinner order payment,Food,expense
Apple Music annual plan charge,Entertainment,expense
Corporate performance bonus payment charge,Income,income
Car service periodic maintenance oil change,Transport,expense
Amazon online shopping headphones purchase charge,Shopping,expense
Pet vaccination injection rabies shot deworming via UPI,Pets,expense
Taco Bell tacos payment,Food,expense
Apple Music annual plan card payment,Entertainment,expense
Car service periodic maintenance oil change charge,Transport,expense
Vet animal clinic surgery medicine doctor online,Pets,expense
Rapido bike taxi trip,Transport,expense
Netflix 4K UHD monthly subscription via UPI,Entertainment,expense
Amusement theme park tickets charge,Entertainment,expense
Dinner at Italian restaurant order,Food,expense
Physics chemistry study material expense,Education,expense
Credit card annual membership fee bill payment,Bills,expense
Dinner at Italian restaurant order,Food,expense
Bakery fresh cake and pastries,Food,expense
Pet shop puppy food treats snacks bones card payment,Pets,expense
Veterinary hospital medicine for dog puppy purchase,Pets,expense
Nike running sports sneakers order,Shopping,expense
Pet food dog food pedigree kibble order,Pets,expense
Dermatologist skin care clinic fee online,Health,expense
Weekend club pub lounge drinks,Entertainment,expense
BookMyShow concert event ticket subscription,Entertainment,expense
Pedigree adult dog meat gravy chicken rice,Pets,expense
Diesel fuel full tank for car charge,Transport,expense
Cult Fit gym fitness center membership charge,Health,expense
Kindle books self improvement reading bill,Education,expense
IRCTC train ticket booking reservation card payment,Transport,expense
Bike motorcycle wheel servicing,Transport,expense
Nike running sports sneakers subscription,Shopping,expense
Puppy kitten pet food nutrition pouch biscuits subscription,Pets,expense
Uniqlo winter wear jacket bill,Shopping,expense
Bird cage seeds pet care supplies food online,Pets,expense
Gaming tournament entry ticket bill,Entertainment,expense
Yoga and meditation session fees subscription,Health,expense
Cult Fit gym fitness center membership subscription,Health,expense
Furniture wooden study desk chair store,Shopping,expense
Restaurant lunch with colleagues,Food,expense
Dinner at Italian restaurant payment,Food,expense
Metro card smart card recharge via UPI,Transport,expense
Monthly salary credited by employer charge,Income,income
Cashback rewards reward points bonus payment,Income,income
Train ticket sleeper class booking bill,Transport,expense
Computer science algorithms textbook expense,Education,expense
Ola cab ride home from office purchase,Transport,expense
Cult Fit gym fitness center membership store,Health,expense
Subway veggie sub sandwich,Food,expense
Dine in bill Chinese food restaurant,Food,expense
Physiotherapy treatment session purchase,Health,expense
Public speaking certification workshop online,Education,expense
Taxi cab rental city tour,Transport,expense
Biryani point dinner party expense,Food,expense
Train ticket sleeper class booking payment,Transport,expense
Public speaking certification workshop,Education,expense
Ola cab ride home from office payment,Transport,expense
Bike motorcycle wheel servicing charge,Transport,expense
Pet shop puppy food treats snacks bones via UPI,Pets,expense
High speed fiber broadband wifi bill bill,Bills,expense
Veterinary hospital medicine for dog puppy order,Pets,expense
BigBasket monthly grocery supplies online,Food,expense
Airport parking lot fee ticket subscription,Transport,expense
Me-O cat food creamy treats salmon payment,Pets,expense
Amazon online shopping headphones purchase store,Shopping,expense
Blood test lab report charges,Health,expense
BigBasket monthly grocery supplies online,Food,expense
Amusement theme park tickets bill,Entertainment,expense
Spectacles optical lenses eye checkup via UPI,Health,expense
Doctor clinic general consultation fee,Health,expense
Amazon Prime Video annual subscription payment,Entertainment,expense
Vet animal clinic surgery medicine doctor online,Pets,expense
Indian oil corporation petrol purchase,Transport,expense
Indian oil corporation petrol store,Transport,expense
Freelance technical writing payout subscription,Income,income
Uber auto ride daily commute via UPI,Transport,expense
Purina pet food supercoat pro plan payment,Pets,expense
Spotify premium music subscription store,Entertainment,expense
Pet clinic vet consultation checkup fee card payment,Pets,expense
Language learning app subscription,Education,expense
Udemy online web development course online,Education,expense
Bakery fresh cake and pastries,Food,expense
Shell petrol pump fuel fill purchase,Transport,expense
Rapido bike taxi trip charge,Transport,expense
Amazon online shopping headphones purchase bill,Shopping,expense
Home decor wall painting frames,Shopping,expense
Apartment society maintenance maintenance charges card payment,Bills,expense
Car service periodic maintenance oil change order,Transport,expense
Dermatologist skin care clinic fee expense,Health,expense
Consulting advisory advisory fee credit via UPI,Income,income
Netflix 4K UHD monthly subscription via UPI,Entertainment,expense
Puppy kitten pet food nutrition pouch biscuits via UPI,Pets,expense
Drools dog food pet treats puppy snacks via UPI,Pets,expense
Home insurance annual premium via UPI,Bills,expense
Udemy online web development course subscription,Education,expense
Royal Canin dog puppy dry food breed bill,Pets,expense
Uber cab ride to airport card payment,Transport,expense
Freelance website UI design project payout charge,Income,income
Pet food dog food pedigree kibble payment,Pets,expense
Haldiram sweets snacks via UPI,Food,expense
Burger King whopper meal purchase,Food,expense
Local tea and snacks stall bill,Food,expense
Furniture wooden study desk chair,Shopping,expense
Gaming tournament entry ticket expense,Entertainment,expense
Yoga and meditation session fees store,Health,expense
H&M casual tshirts and jeans,Shopping,expense
Blood test lab report charges order,Health,expense
Pizza Hut dinner with family charge,Food,expense
Monthly salary credited by employer bill,Income,income
Metro card smart card recharge,Transport,expense
Dermatologist skin care clinic fee store,Health,expense
Dominos pizza delivery online,Food,expense
Credit card annual membership fee bill payment,Bills,expense
House monthly rent payment to landlord order,Bills,expense
Municipal water supply pipeline bill,Bills,expense
Gaming tournament entry ticket,Entertainment,expense
YouTube premium ad-free plan subscription,Entertainment,expense
Physiotherapy treatment session subscription,Health,expense
Pharmacy medicine tablets painkiller bill,Health,expense
Aquarium fish food pellets pet care aquarium tank order,Pets,expense
Dentist dental clinic checkup teeth cleaning online,Health,expense
Udemy online web development course expense,Education,expense
Spotify premium music subscription expense,Entertainment,expense
Pedigree adult dog meat gravy chicken rice bill,Pets,expense
Dentist dental clinic checkup teeth cleaning,Health,expense
Dine in bill Chinese food restaurant bill,Food,expense
Standup comedy show tickets via UPI,Entertainment,expense
Dine in bill Chinese food restaurant payment,Food,expense
Weekend club pub lounge drinks charge,Entertainment,expense
Coursera AI machine learning specialization charge,Education,expense
Pet food dog food pedigree kibble subscription,Pets,expense
House monthly rent payment to landlord expense,Bills,expense
Zara cotton formal shirt order,Shopping,expense
Rapido bike taxi trip store,Transport,expense
Ice cream parlour dessert waffle charge,Food,expense
Myntra fashionable jacket clothes card payment,Shopping,expense
Puppy kitten pet food nutrition pouch biscuits store,Pets,expense
Apple Music annual plan charge,Entertainment,expense
LPG cooking gas cylinder refill payment,Bills,expense
LPG cooking gas cylinder refill subscription,Bills,expense
Apartment society maintenance maintenance charges charge,Bills,expense
Upwork freelance software contract card payment,Income,income
Shopping mall department store bill,Shopping,expense
RayBan sunglasses eyewear store bill,Shopping,expense
Taco Bell tacos payment,Food,expense
PVR Inox cinema movie tickets and popcorn bill,Entertainment,expense
Pet boarding day care kennel charges dog walking online,Pets,expense
Apple iPad tablet and accessories via UPI,Shopping,expense
Spectacles optical lenses eye checkup card payment,Health,expense
Rapido bike taxi trip expense,Transport,expense
Shell petrol pump fuel fill via UPI,Transport,expense
Purina pet food supercoat pro plan bill,Pets,expense
Dine in bill Chinese food restaurant bill,Food,expense
Apollo pharmacy multivitamins supplements bill,Health,expense
Gas pipeline utility bill subscription,Bills,expense
Kindle books self improvement reading order,Education,expense
Disney Hotstar VIP streaming bill,Entertainment,expense
Gaming tournament entry ticket online,Entertainment,expense
Ola cab ride home from office card payment,Transport,expense
Consulting advisory advisory fee credit card payment,Income,income
House monthly rent payment to landlord,Bills,expense
McDonalds burger meal via UPI,Food,expense
Veterinary hospital medicine for dog puppy,Pets,expense
Biryani point dinner party purchase,Food,expense
Pet vaccination injection rabies shot deworming payment,Pets,expense
YouTube premium ad-free plan subscription,Entertainment,expense
Gas pipeline utility bill expense,Bills,expense
MedPlus online medicine order,Health,expense
Flipkart electronics smart watch,Shopping,expense
YouTube premium ad-free plan store,Entertainment,expense
Airport shuttle express bus via UPI,Transport,expense
Language learning app subscription payment,Education,expense
Starbucks coffee latte payment,Food,expense
School stationery pens notebooks supplies online,Education,expense
Disney Hotstar VIP streaming bill,Entertainment,expense
Subway veggie sub sandwich bill,Food,expense
Physics chemistry study material via UPI,Education,expense
Adani electricity bill payment store,Bills,expense
Airtel postpaid telecom bill,Bills,expense
Zomato food delivery,Food,expense
Uber auto ride daily commute subscription,Transport,expense
Steam PC video game digital download order,Entertainment,expense
Spectacles optical lenses eye checkup payment,Health,expense
Kitchen non stick pan cookware card payment,Shopping,expense
FASTag toll plaza electronic recharge via UPI,Transport,expense
Coursera AI machine learning specialization via UPI,Education,expense
Uniqlo winter wear jacket expense,Shopping,expense
Supermarket grocery fruits vegetables subscription,Food,expense
LinkedIn Learning monthly subscription store,Education,expense
Apollo pharmacy multivitamins supplements expense,Health,expense
Freelance technical writing payout subscription,Income,income
Mobile phone prepaid recharge pack charge,Bills,expense
Cat food whiskas tuna wet food bill,Pets,expense
Swiggy dinner order payment,Food,expense
Disney Hotstar VIP streaming payment,Entertainment,expense
Zara cotton formal shirt via UPI,Shopping,expense
Adani electricity bill payment purchase,Bills,expense
Bakery fresh cake and pastries charge,Food,expense
Tata Power electricity bill expense,Bills,expense
Train ticket sleeper class booking,Transport,expense
Mobile phone prepaid recharge pack charge,Bills,expense
Zomato food delivery order,Food,expense
Shell petrol pump fuel fill online,Transport,expense
Dominos pizza delivery charge,Food,expense
Dog grooming shampoo trimming spa charge,Pets,expense
Cult Fit gym fitness center membership,Health,expense
Online makeup beauty cosmetics store order,Shopping,expense
YouTube premium ad-free plan,Entertainment,expense
RayBan sunglasses eyewear store order,Shopping,expense
Zomato food delivery via UPI,Food,expense
Flipkart electronics smart watch bill,Shopping,expense
Standup comedy show tickets,Entertainment,expense
Decathlon sports gym equipment online,Shopping,expense
Cat food whiskas tuna wet food via UPI,Pets,expense
PlayStation Plus yearly subscription purchase,Entertainment,expense
Computer science algorithms textbook expense,Education,expense
FASTag toll plaza electronic recharge purchase,Transport,expense
Amusement theme park tickets subscription,Entertainment,expense
Blood test lab report charges online,Health,expense
Pet vaccination injection rabies shot deworming,Pets,expense
High speed fiber broadband wifi bill charge,Bills,expense
Freelance website UI design project payout purchase,Income,income
Furniture wooden study desk chair bill,Shopping,expense
Electricity power utility monthly bill store,Bills,expense
Freelance website UI design project payout bill,Income,income
Municipal water supply pipeline bill charge,Bills,expense
Monthly salary credited by employer order,Income,income
Biryani point dinner party charge,Food,expense
Yoga and meditation session fees,Health,expense
PVR Inox cinema movie tickets and popcorn bill,Entertainment,expense
Pet accessories dog bed cat toys chew bone card payment,Pets,expense
Diesel fuel full tank for car,Transport,expense
Rapido bike taxi trip order,Transport,expense
Computer science algorithms textbook charge,Education,expense
School stationery pens notebooks supplies via UPI,Education,expense
Municipal water supply pipeline bill expense,Bills,expense
Part time consulting project income bill,Income,income
Uber auto ride daily commute order,Transport,expense
Monthly salary credited by employer order,Income,income
Drools dog food pet treats puppy snacks store,Pets,expense
Cat food whiskas tuna wet food online,Pets,expense
Hospital health full body pathology test charge,Health,expense
Me-O cat food creamy treats salmon purchase,Pets,expense
Nike running sports sneakers,Shopping,expense
Zara cotton formal shirt,Shopping,expense
Adani electricity bill payment purchase,Bills,expense
Apple Music annual plan,Entertainment,expense
Starbucks coffee latte bill,Food,expense
Steam PC video game digital download payment,Entertainment,expense
Gas pipeline utility bill online,Bills,expense
Dog grooming shampoo trimming spa via UPI,Pets,expense
Pet shop puppy food treats snacks bones,Pets,expense
Udemy online web development course,Education,expense
Royal Canin dog puppy dry food breed bill,Pets,expense
Puppy kitten pet food nutrition pouch biscuits card payment,Pets,expense
Train ticket sleeper class booking,Transport,expense
Bank high yield savings account interest subscription,Income,income
Vet animal clinic surgery medicine doctor purchase,Pets,expense
Bird cage seeds pet care supplies food,Pets,expense
Flipkart electronics smart watch bill,Shopping,expense
Tata Power electricity bill card payment,Bills,expense
Pedigree adult dog meat gravy chicken rice subscription,Pets,expense
Mobile phone prepaid recharge pack online,Bills,expense
Drools dog food pet treats puppy snacks,Pets,expense
Computer science algorithms textbook,Education,expense
Purina pet food supercoat pro plan purchase,Pets,expense
Ola cab ride home from office card payment,Transport,expense
Credit card annual membership fee bill via UPI,Bills,expense
LinkedIn Learning monthly subscription purchase,Education,expense
Doctor clinic general consultation fee bill,Health,expense
Starbucks coffee latte subscription,Food,expense
Indigo flight airline ticket travel online,Transport,expense
Pet clinic vet consultation checkup fee expense,Pets,expense
Organic grocery store food items expense,Food,expense
Levi's denim jeans store via UPI,Shopping,expense
Breakfast cafe coffee bagel,Food,expense
KFC fried chicken bucket via UPI,Food,expense
Aquarium fish food pellets pet care aquarium tank expense,Pets,expense
Indigo flight airline ticket travel order,Transport,expense
Uber cab ride to airport,Transport,expense
Whiskas cat food ocean fish pouch,Pets,expense
Myntra fashionable jacket clothes expense,Shopping,expense
Pet accessories dog bed cat toys chew bone expense,Pets,expense
LinkedIn Learning monthly subscription,Education,expense
Hospital health full body pathology test,Health,expense
Swiggy dinner order charge,Food,expense
Taxi cab rental city tour bill,Transport,expense
Apple Music annual plan bill,Entertainment,expense
Dine in bill Chinese food restaurant store,Food,expense
Corporate performance bonus payment bill,Income,income
Levi's denim jeans store payment,Shopping,expense
Pizza Hut dinner with family,Food,expense
Pet vaccination injection rabies shot deworming store,Pets,expense
Leather wallet and belts charge,Shopping,expense
Organic grocery store food items purchase,Food,expense
Dominos pizza delivery purchase,Food,expense
Amazon online shopping headphones purchase charge,Shopping,expense
Whiskas cat food ocean fish pouch via UPI,Pets,expense
Subway veggie sub sandwich expense,Food,expense
Consulting advisory advisory fee credit online,Income,income
Gourmet cheese and pasta order,Food,expense
Home decor wall painting frames,Shopping,expense
Aquarium fish food pellets pet care aquarium tank charge,Pets,expense
Royal Canin dog puppy dry food breed store,Pets,expense
LPG cooking gas cylinder refill,Bills,expense
Veterinary hospital medicine for dog puppy payment,Pets,expense
Mutual fund stock market dividend,Income,income
Zepto grocery order milk bread,Food,expense
Bike motorcycle wheel servicing purchase,Transport,expense
Spectacles optical lenses eye checkup order,Health,expense
Consulting advisory advisory fee credit card payment,Income,income
Restaurant lunch with colleagues via UPI,Food,expense
Nike running sports sneakers via UPI,Shopping,expense
Bus ticket reservation online card payment,Transport,expense
PVR Inox cinema movie tickets and popcorn purchase,Entertainment,expense
Swiggy dinner order payment,Food,expense
Coursera AI machine learning specialization,Education,expense
Train ticket sleeper class booking via UPI,Transport,expense
Aquarium fish food pellets pet care aquarium tank payment,Pets,expense
Spotify premium music subscription,Entertainment,expense
Royal Canin dog puppy dry food breed purchase,Pets,expense
Pet food dog food pedigree kibble store,Pets,expense
Kindle books self improvement reading online,Education,expense
H&M casual tshirts and jeans payment,Shopping,expense
Restaurant lunch with colleagues expense,Food,expense
Amusement theme park tickets,Entertainment,expense
McDonalds burger meal purchase,Food,expense
Bharat Petroleum diesel fill via UPI,Transport,expense
Taxi cab rental city tour,Transport,expense
IRCTC train ticket booking reservation expense,Transport,expense
Pet supplies cat litter leash collar harness store,Pets,expense
Home decor wall painting frames expense,Shopping,expense
Zomato food delivery card payment,Food,expense
Coursera AI machine learning specialization store,Education,expense
Zepto grocery order milk bread bill,Food,expense
Upwork freelance software contract,Income,income
Shopping mall department store purchase,Shopping,expense
Gourmet cheese and pasta bill,Food,expense
LinkedIn Learning monthly subscription purchase,Education,expense
Shell petrol pump fuel fill card payment,Transport,expense
Restaurant lunch with colleagues bill,Food,expense
Electricity power utility monthly bill card payment,Bills,expense
House monthly rent payment to landlord online,Bills,expense
Zomato food delivery online,Food,expense
Aquarium fish food pellets pet care aquarium tank,Pets,expense
Breakfast cafe coffee bagel card payment,Food,expense
BigBasket monthly grocery supplies card payment,Food,expense
Municipal water supply pipeline bill order,Bills,expense
Breakfast cafe coffee bagel,Food,expense
Restaurant lunch with colleagues,Food,expense
Pizza Hut dinner with family,Food,expense
Spotify premium music subscription charge,Entertainment,expense
Spectacles optical lenses eye checkup,Health,expense
Titan wrist watch purchase via UPI,Shopping,expense
Dentist dental clinic checkup teeth cleaning,Health,expense
Consulting advisory advisory fee credit subscription,Income,income
Supermarket grocery fruits vegetables store,Food,expense
Car service periodic maintenance oil change order,Transport,expense
Bank high yield savings account interest via UPI,Income,income
Standup comedy show tickets,Entertainment,expense
Airtel postpaid telecom bill order,Bills,expense
PVR Inox cinema movie tickets and popcorn,Entertainment,expense
Burger King whopper meal charge,Food,expense
Subway veggie sub sandwich expense,Food,expense
FASTag toll plaza electronic recharge bill,Transport,expense
Standup comedy show tickets charge,Entertainment,expense
Freelance website UI design project payout card payment,Income,income
Aquarium fish food pellets pet care aquarium tank card payment,Pets,expense
Pet clinic vet consultation checkup fee order,Pets,expense
Airport parking lot fee ticket bill,Transport,expense
Purina pet food supercoat pro plan payment,Pets,expense
Uniqlo winter wear jacket order,Shopping,expense
Shell petrol pump fuel fill,Transport,expense
Home decor wall painting frames bill,Shopping,expense
Credit card annual membership fee bill,Bills,expense
Vet animal clinic surgery medicine doctor subscription,Pets,expense
KFC fried chicken bucket purchase,Food,expense
Amusement theme park tickets online,Entertainment,expense
Levi's denim jeans store via UPI,Shopping,expense
Netflix 4K UHD monthly subscription store,Entertainment,expense
Cat food whiskas tuna wet food store,Pets,expense
Bharat Petroleum diesel fill bill,Transport,expense
Uber auto ride daily commute bill,Transport,expense
Pedigree adult dog meat gravy chicken rice,Pets,expense
Organic grocery store food items via UPI,Food,expense
MedPlus online medicine order purchase,Health,expense
Titan wrist watch purchase purchase,Shopping,expense
Dog grooming shampoo trimming spa,Pets,expense
Rapido bike taxi trip order,Transport,expense
Amazon Prime Video annual subscription store,Entertainment,expense
Uber cab ride to airport card payment,Transport,expense
RayBan sunglasses eyewear store charge,Shopping,expense
Burger King whopper meal via UPI,Food,expense
Physics chemistry study material order,Education,expense
Zara cotton formal shirt payment,Shopping,expense
Diesel fuel full tank for car bill,Transport,expense
IRCTC train ticket booking reservation bill,Transport,expense
RayBan sunglasses eyewear store store,Shopping,expense
Apollo pharmacy multivitamins supplements bill,Health,expense
Online makeup beauty cosmetics store,Shopping,expense
Apollo pharmacy multivitamins supplements online,Health,expense
Flipkart electronics smart watch order,Shopping,expense
Coursera AI machine learning specialization store,Education,expense
Airport shuttle express bus online,Transport,expense
Blood test lab report charges charge,Health,expense
Metro card smart card recharge card payment,Transport,expense
Apartment society maintenance maintenance charges bill,Bills,expense
Titan wrist watch purchase expense,Shopping,expense
McDonalds burger meal,Food,expense
University college tuition exam fee charge,Education,expense
Ola cab ride home from office charge,Transport,expense
Mutual fund stock market dividend order,Income,income
Pharmacy medicine tablets painkiller order,Health,expense
Amusement theme park tickets via UPI,Entertainment,expense
Apollo pharmacy multivitamins supplements order,Health,expense
Gas pipeline utility bill purchase,Bills,expense
Pet supplies cat litter leash collar harness bill,Pets,expense
Uniqlo winter wear jacket charge,Shopping,expense
Mutual fund stock market dividend subscription,Income,income
Standup comedy show tickets order,Entertainment,expense
McDonalds burger meal payment,Food,expense
Pet accessories dog bed cat toys chew bone,Pets,expense
Purina pet food supercoat pro plan payment,Pets,expense
Hospital health full body pathology test store,Health,expense
Organic grocery store food items online,Food,expense
Me-O cat food creamy treats salmon via UPI,Pets,expense
BookMyShow concert event ticket purchase,Entertainment,expense
Haldiram sweets snacks subscription,Food,expense
Haldiram sweets snacks order,Food,expense
Dermatologist skin care clinic fee bill,Health,expense
Whiskas cat food ocean fish pouch bill,Pets,expense
Corporate performance bonus payment,Income,income
Myntra fashionable jacket clothes bill,Shopping,expense
Puppy kitten pet food nutrition pouch biscuits,Pets,expense
Nike running sports sneakers,Shopping,expense
Jio fiber optic broadband internet bill,Bills,expense
University college tuition exam fee bill,Education,expense
Indigo flight airline ticket travel bill,Transport,expense
Yoga and meditation session fees order,Health,expense
Levi's denim jeans store bill,Shopping,expense
Steam PC video game digital download online,Entertainment,expense
Dominos pizza delivery,Food,expense
Dentist dental clinic checkup teeth cleaning,Health,expense
Cashback rewards reward points bonus,Income,income
Nike running sports sneakers purchase,Shopping,expense
Doctor clinic general consultation fee purchase,Health,expense
Supermarket grocery fruits vegetables,Food,expense
RayBan sunglasses eyewear store,Shopping,expense
Subway veggie sub sandwich expense,Food,expense
Weekend club pub lounge drinks charge,Entertainment,expense
Starbucks coffee latte expense,Food,expense
Gas pipeline utility bill expense,Bills,expense
Doctor clinic general consultation fee subscription,Health,expense
Netflix 4K UHD monthly subscription,Entertainment,expense
Uniqlo winter wear jacket subscription,Shopping,expense
Disney Hotstar VIP streaming purchase,Entertainment,expense
Subway veggie sub sandwich,Food,expense
Yoga and meditation session fees card payment,Health,expense
Public speaking certification workshop card payment,Education,expense
Dentist dental clinic checkup teeth cleaning charge,Health,expense
Freelance website UI design project payout via UPI,Income,income
Metro card smart card recharge,Transport,expense
Computer science algorithms textbook,Education,expense
Zepto grocery order milk bread subscription,Food,expense
Puppy kitten pet food nutrition pouch biscuits store,Pets,expense
Tata Power electricity bill bill,Bills,expense
BigBasket monthly grocery supplies subscription,Food,expense
Home decor wall painting frames card payment,Shopping,expense
Doctor clinic general consultation fee card payment,Health,expense
Home insurance annual premium order,Bills,expense
Whiskas cat food ocean fish pouch via UPI,Pets,expense
Levi's denim jeans store bill,Shopping,expense
AWS certification exam voucher,Education,expense
Mutual fund stock market dividend charge,Income,income
Upwork freelance software contract order,Income,income
Mobile phone prepaid recharge pack charge,Bills,expense
YouTube premium ad-free plan order,Entertainment,expense
Disney Hotstar VIP streaming bill,Entertainment,expense
Corporate performance bonus payment order,Income,income
Credit card annual membership fee bill charge,Bills,expense
Public speaking certification workshop order,Education,expense
Pet supplies cat litter leash collar harness store,Pets,expense
Home insurance annual premium order,Bills,expense
Dinner at Italian restaurant payment,Food,expense
Municipal water supply pipeline bill subscription,Bills,expense
FASTag toll plaza electronic recharge bill,Transport,expense
Apple iPad tablet and accessories order,Shopping,expense
Shopping mall department store online,Shopping,expense
Netflix 4K UHD monthly subscription,Entertainment,expense
Ice cream parlour dessert waffle,Food,expense
Metro card smart card recharge expense,Transport,expense
Amazon online shopping headphones purchase,Shopping,expense
Consulting advisory advisory fee credit bill,Income,income
Taxi cab rental city tour purchase,Transport,expense
Adani electricity bill payment card payment,Bills,expense
BigBasket monthly grocery supplies subscription,Food,expense
LPG cooking gas cylinder refill card payment,Bills,expense
Kitchen non stick pan cookware store,Shopping,expense
Pet supplies cat litter leash collar harness card payment,Pets,expense
Bakery fresh cake and pastries payment,Food,expense
Pharmacy medicine tablets painkiller store,Health,expense
Bakery fresh cake and pastries purchase,Food,expense
Ice cream parlour dessert waffle via UPI,Food,expense
Mutual fund stock market dividend expense,Income,income
